Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
IPA 1.0	Beer 4 Nature	IPA	6.0	N/A	Mol	http://www.beer4nature.be/	N/A
Kolibrie	Beer 4 Nature	Honey Beer	5.2	N/A	Mol	http://www.beer4nature.be/	N/A
Ne Wezel	Beer 4 Nature	Tripel	8.0	N/A	Mol	http://www.beer4nature.be/	N/A
ABN Tripel Genot	Den Triest	Tripel	8.5	N/A	Kapelle o/d Bos	https://www.dentriest.be/	N/A
Abraham Special	Noordster	Blond	6.7	N/A	Balen	http://noordster.be	N/A
ADC Vieille Brunoise	Dok Brewing Company	Flanders Oud Bruin	7.0	N/A	Gent	https://www.dokbrewingcompany.be	N/A
Amax	Ganzenhof	Blond	6.0	2.0	Schelle	https://www.brouwerij-ganzenhof.be	N/A
Ardenne Wood Bee Gees - 2020 Bourgogne Blanc	Minne	Tripel	9.5	N/A	Somme-Leuze	http://www.brasseriedebastogne.be/	N/A
Arendonker Winter	Humulus	Winter Ale	8.5	N/A	Arendonk	http://brouwerijhumulus.be/	N/A
Arendonker Saison	Humulus	Saison	7.1	N/A	Arendonk	http://brouwerijhumulus.be/	N/A
