Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Zuipertje	Mazette	Witbier	5.3	N/A	Brussel	https://mazette.brussels/nl/home-nederlands/	N/A
A L’ancienne IPA #1 By Ben	Mosquito Brasserie	IPA	6.5	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
A L’Ancienne Triple	Mosquito Brasserie	Tripel	8.5	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
Blanche	Mosquito Brasserie	Witbier	4.5	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
Pale Ale	Mosquito Brasserie	Pale ale	7.0	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
Cuvée des Seigneurs de Boussu	Brasserie Deseveaux	Saison	5.5	N/A	BOUSSU	https://sarazen.be/nl/homepage/	N/A
Spot	Mosquito Brasserie	Blond	6.0	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
Tuk Tuk	Mosquito Brasserie	Dubbel	6.0	N/A	Vezon	https://www.mosquitobrasserie.com/	N/A
US-1	Peppermill	IPA	6.0	N/A	Binderveld	https://www.98brewingcompany.be/bar-brewery	N/A
Hopmeister	Peppermill	IPA	6.3	N/A	Binderveld	https://www.98brewingcompany.be/bar-brewery	N/A
Hill-billy	Peppermill	Pils	4.3	N/A	Binderveld	https://www.98brewingcompany.be/bar-brewery	N/A
Ka Sa Yé ?	Janine	IPA	5.0	25.0	Brussel	https://janine.brussels/	N/A
Max Attack	Janine	Porter	5.0	25.0	Brussel	https://janine.brussels/	N/A
Rock'n Carol	Janine	Pale ale	6.0	30.0	Brussel	https://janine.brussels/	N/A
Trompe L’œil	Janine	Pale ale	4.0	N/A	Brussel	https://janine.brussels/	N/A
Wai-Iti Bob	Janine	Low alcohol	0.5	N/A	Brussel	https://janine.brussels/	N/A
Kestemont Zwarte Bes	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Oude Gueze	Kestemont	Gueuze	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Oude Kriek met Schaarbeekse Krieken	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Oude Kriek	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Groene  Kruisbes	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Rode Kruisbes	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Rabarber	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Coulis Speciale	Kestemont	Fruitbier	5.5	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Kestemont Abrikoos	Kestemont	Fruitbier	6.0	N/A	Dilbeek	https://www.brouwerijkestemont.be/	N/A
Fresh'n Fruity	Sergeant Craft Beers	IPA	6.7	56.0	Beernem	N/A	N/A
Bruur	Bruur.beer	IPA	6.4	35.0	Putte	https://www.bruurbeer.be/	N/A
A12 Premium Pils	Magnus	Pils	5.2	28.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Brett Ellis	Magnus	Brett Beer	6.5	N/A	Edegem	https://www.brouwerijmagnus.be/	N/A
Jaguar Shark NEIPA	Magnus	IPA	5.3	32.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Pink Parrot IPA	Magnus	IPA	6.0	32.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Red Flamingo Black IPA	Magnus	IPA	8.1	65.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Reddish Flamingo	Magnus	IPA	6.6	57.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Saison Primis	Magnus	Saison	6.8	30.0	Edegem	https://www.brouwerijmagnus.be/	N/A
Touche	Filibertus	Tripel	7.0	18.0	Deurne	https://filibertus.be/nl/touche-bier/	N/A
Fugushima	Fugu Brewing Company	IPA	6.2	20.0	Anderlecht	fugubrewing.be	N/A
Hop Circles	Fugu Brewing Company	IPA	8.0	40.0	Anderlecht	fugubrewing.be	N/A
Hop Circles 2	Fugu Brewing Company	IPA	8.0	40.0	Anderlecht	fugubrewing.be	N/A
Tetrodaïne	Fugu Brewing Company	Pils	5.2	30.0	Anderlecht	fugubrewing.be	N/A
Grand-Mère	DrinkThatBeer	Witbier	5.4	14.0	Etterbeek	https://nl.drinkthatbeer.be/	N/A
Barbe Rousse	DrinkThatBeer	IPA	6.5	42.0	Etterbeek	https://nl.drinkthatbeer.be/	N/A
Frambo	DrinkThatBeer	Sour	5.5	13.0	Etterbeek	https://nl.drinkthatbeer.be/	N/A
Mitch	DrinkThatBeer	IPA	5.0	26.0	Etterbeek	https://nl.drinkthatbeer.be/	N/A
Nelson the Wild Wild Wheat	Brooz Brew	IPA	5.5	N/A	Binche	N/A	N/A
Hopsession	Brasserie de la Cambre	IPA	3.9	28.0	Elsene	http://brasseriedelacambre.be	No longer in production
Dark Winter	Brasserie de la Cambre	Winter Ale	6.6	22.0	Elsene	http://brasseriedelacambre.be	No longer in production
La Cambre IPA	Het Anker	Blond	4.9	40.0	Mechelen	https://www.hetanker.be/nl	N/A
2550	Malcroys Brewing	Blond	6.8	36.0	Kontich	https://malcroysbrewing.be/	N/A
B'Joy Triple	MY Beers	Tripel	8.0	22.0	Nalinnes	https://bjoy-beer.wixsite.com/my-site	N/A
Den Tuymelaar	Den Tuymelaar	Pale ale	7.0	24.0	Hasselt	https://dentuymelaar.be/	N/A
Den Tuymelaar Blond	Den Tuymelaar	Blond	6.0	33.0	Hasselt	https://dentuymelaar.be/	N/A
Den Tuymelaar Special Edition 2021	Den Tuymelaar	Pale ale	7.0	24.0	Hasselt	https://dentuymelaar.be/	N/A
La Déferlante	Hopseïdon	Witbier	5.3	30.0	Embourg	https://hopseidon.be/index.php	N/A
La Scélérate	Hopseïdon	Pale ale	7.2	33.0	Embourg	https://hopseidon.be/index.php	N/A
Barry	Les Graillons	Blond	5.0	N/A	Esneux	https://www.lesgraillons.be/	N/A
Chil	Les Graillons	Witbier	5.7	27.0	Esneux	https://www.lesgraillons.be/	N/A
Gustus	Les Graillons	Blond	5.7	N/A	Esneux	https://www.lesgraillons.be/	N/A
Mokus	Les Graillons	Amber	6.8	34.0	Esneux	https://www.lesgraillons.be/	N/A
Moose	Les Graillons	Tripel	8.2	28.0	Esneux	https://www.lesgraillons.be/	N/A
Sign of Time	Norm Brewing	IPA	6.8	35.0	Luik	normbrewing.be	N/A
CTRL Freak	Norm Brewing	Lager	5.0	30.0	Luik	normbrewing.be	N/A
Far From Home	Norm Brewing	IPA	6.8	35.0	Luik	normbrewing.be	N/A
Hazy Pale	Norm Brewing	Pale ale	5.5	25.0	Luik	normbrewing.be	N/A
Horta Echo	Norm Brewing	Witbier	5.4	N/A	Luik	normbrewing.be	N/A
After Work	Eifel Domaine Brewery	Spiced / Herbed Beer	6.5	23.0	Büllingen	https://www.eifel-domaine.beer/t-en/	N/A
Eifel Blonde	Eifel Domaine Brewery	Blond	6.5	24.0	Büllingen	https://www.eifel-domaine.beer/t-en/	N/A
Eifel Brune	Eifel Domaine Brewery	Donker	6.5	32.0	Büllingen	https://www.eifel-domaine.beer/t-en/	N/A
La THArée Fraisée	La THArée	Fruitbier	4.2	25.0	Cherain	https://www.latharee.be/	N/A
La THArée IPA	La THArée	IPA	6.0	35.0	Cherain	https://www.latharee.be/	N/A
La THArée Légère	La THArée	Saison	4.5	25.0	Cherain	https://www.latharee.be/	N/A
La Tharée Ambrée	La THArée	Amber	6.0	22.0	Cherain	https://www.latharee.be/	N/A
Bière Success	Bière Success	Tripel	8.0	N/A	Bonsin	www.bieresuccess.be	N/A
Mobius Blanche	Mobius Beer	Witbier	4.5	N/A	Sombreffe	https://www.brasseriemobius.be/nl_BE	N/A
Mobius Triple	Mobius Beer	Tripel	8.5	N/A	Sombreffe	https://www.brasseriemobius.be/nl_BE	N/A
Mobius IPA	Mobius Beer	IPA	6.5	N/A	Sombreffe	https://www.brasseriemobius.be/nl_BE	N/A
Mobius Lo(W)cal	Mobius Beer	Lager	3.3	20.0	Sombreffe	https://www.brasseriemobius.be/nl_BE	N/A
Olga	Mobius Beer	Witbier	5.4	N/A	Sombreffe	https://www.brasseriemobius.be/nl_BE	N/A
Boterham	Vollen Bak	Amber	6.0	25.0	Geraaardsbergen	https://www.boterhambier.com/	N/A
Eagle Triple	Brasserie de Flandre	Tripel	8.5	32.0	Gavere	http://www.brasseriedeflandre.com/	N/A
Ad Vitam Blond	Brasserie de Flandre	Blond	6.5	N/A	Gavere	http://www.brasseriedeflandre.com/	N/A
Ad Vitam Triple	Brasserie de Flandre	Tripel	8.5	N/A	Gavere	http://www.brasseriedeflandre.com/	N/A
Eagle Classic	Brasserie de Flandre	Blond	6.5	N/A	Gavere	http://www.brasseriedeflandre.com/	N/A
Quinks Blond	Brasserie de Flandre	Blond	6.5	N/A	Gavere	http://www.brasseriedeflandre.com/	N/A
