username	preference	disliked
Bart	"['Wilde ale', ""Gerstewijn - Barley wine - vin d'orge"", 'Kerstbier', 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier', 'Sterke ale donker', 'Donker', 'Amber', 'Sterke ale', 'Witbier', 'Fruitbier', 'Kruidenbier', 'Stout', 'Saison', 'Pils', 'IPA', 'Tripel hop amber', 'Fruitbier krieken', 'Barley wine', 'Ale', 'Gueuze', nan, 'Scotch', 'Vlaams roodbruin', 'Sterke ale amber', 'Tripel', 'Blond', 'Dubbel', 'Rood bruin']"	['Fruitbier', 'Tripel', 'Blond', 'Donker', 'Pils', 'Low Alcoholic Beer', 'Gueuze']
BartC	['Tripel', 'Blond', 'Donker', 'Amber', 'Saison', 'Pils', 'Sterke ale', 'IPA', 'Honingbier', 'Ale', 'Witbier', nan, 'Sterke ale blond', 'Dubbel abdij']	[]
Bartzilla	['Tripel', 'Sterke ale', 'Rood bruin', 'Witbier', 'Amber ale', 'Aperitiefbier']	[]
Baumgartner	[]	['Amber ale']
Bayerboy	['Quadrupel']	[]
Bcoble003	['Sterke ale']	[]
BeMerry	['Amber ale']	[]
BeachAccord	['Quadrupel']	[]
Bean	['IPA']	[]
BeanDip	['Quadrupel', 'Tripel', 'Rood bruin', 'Amber ale', 'Dubbel abdij', 'Aperitiefbier']	[]
Bear53	['Tripel', 'Blond']	[]
BearBrewer	['Sterke ale']	[]
Beardface	[]	[]
Beatanalyst	['Sterke ale']	[]
Beaver	['Amber ale', 'Tripel', 'Witbier', 'Dubbel abdij']	[]
BeaverBrown	['Fruitbier krieken', 'Quadrupel', 'Sterke ale']	[]
Beer Snob	['Amber ale', 'Witbier', 'Sterke ale', 'Rood bruin']	['Pils', 'Donker']
Beer2000	['Quadrupel', 'Tripel', 'Blond', 'Donker', 'Pils', 'Sterke ale', 'Rood bruin', 'Kerstbier', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij']	['Pils', 'Sterke ale', 'Witbier']
BeerAteHer	[]	['Fruitbier']
BeerBaboon	['Tripel', 'Donker', 'Sterke ale', 'IPA', 'Ale', 'Scotch', 'Dubbel abdij']	['Fruitbier']
BeerBaby	['Rood bruin']	[]
BeerBaron617	['Tripel', 'Sterke ale']	[]
BeerBaronLS	['Amber ale']	[]
BeerBasterd	['Sterke ale']	[]
BeerBelcher	['Quadrupel', 'Pils', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier', 'Aperitiefbier']	[]
BeerBellyOSU	['Sterke ale']	[]
BeerBiker	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Dubbel', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij', 'Aperitiefbier']	['Fruitbier krieken', 'Fruitbier', 'Tripel', 'Donker']
BeerBitch12	[]	[]
BeerBlockaid	['Tripel', 'Sterke ale', 'Rood bruin', 'Witbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Pils']
BeerBunker	['Quadrupel', 'Tripel']	[]
BeerCast_Rich	['Quadrupel', 'Tripel', 'Sterke ale', 'IPA']	['Fruitbier', 'Pils']
BeerChaser0078	['Wilde ale', 'Tripel', 'Donker', 'Sterke ale', 'IPA', 'Ale', 'Dubbel abdij']	[]
BeerCommonSewr	['Sterke ale']	[]
BeerDaveC007	['Wilde ale', 'Blond']	[]
BeerDude78	['Quadrupel', 'Tripel', 'Sterke ale']	[]
BeerEssential	['Quadrupel', 'Tripel', 'Witbier']	[]
BeerFanDan17	['Quadrupel', 'Tripel', 'Blond', 'Donker', 'Sterke ale', 'IPA', 'Rood bruin']	[]
BeerGestapo	['Tripel', 'Sterke ale', 'IPA', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	[]
BeerHawk	['Quadrupel', 'Tripel', 'Scotch', 'Sterke ale', 'Fruitbier krieken', 'Witbier', 'Amber ale', 'Dubbel abdij']	[]
BeerHeadBobby	['Sterke ale', 'Dubbel abdij']	[]
BeerHound53	['Scotch']	[]
BeerLimey	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'Rood bruin', 'IPA', 'Ale', 'Witbier']	['Dubbel abdij']
BeerMeDude	['Sterke ale']	[]
BeerMePodcast	['Rood bruin']	[]
BeerMountie	['Tripel']	[]
BeerPrince	['Fruitbier', 'Tripel', 'Blond', 'Wilde ale', 'Donker', 'Saison', 'Sterke ale', 'Sterke ale blond', 'Dubbel abdij']	[]
BeerRules	['Quadrupel', 'Dubbel abdij']	[]
BeerRunner	['Blond', 'Sterke ale']	['Amber ale']
BeerSkull	[]	['Fruitbier']
BeerSlacker	['Sterke ale']	[]
BeerViking	['Tripel', 'Sterke ale', 'Rood bruin']	[]
BeerVirgin72	['Quadrupel', 'Pils', 'Sterke ale', 'Ale', 'Dubbel abdij']	[]
BeerZack	['Pils', 'Rood bruin']	[]
BeerandBlues2	['Quadrupel', 'Tripel', 'Blond', 'Wilde ale', 'Sterke ale donker', 'Scotch', 'Sterke ale', 'Rood bruin', 'IPA', 'Fruitbier krieken', 'Gueuze', 'Ale', 'Witbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	[]
Beerapprentice	['Rood bruin']	[]
Beerdedone	['Quadrupel', 'Tripel', 'Donker', 'Sterke ale', 'Rood bruin', 'Ale', 'Witbier', 'Amber ale', 'Dubbel abdij']	['Pils']
Beering	['Donker']	[]
Beerlando	['Quadrupel', 'Tripel', 'Wilde ale', 'Saison', 'Sterke ale', 'Kerstbier', 'Amber ale', 'Dubbel abdij']	['Sterke ale donker']
Beerly There	['Quadrupel', 'Sterke ale']	[]
Beerman6686	['Quadrupel', 'Tripel', 'Sterke ale', 'Rood bruin', 'Amber ale', 'Dubbel abdij']	['Pils', 'Sterke ale']
Beermogul	['Sterke ale']	[]
Beershine	['Quadrupel', 'Tripel', 'Wilde ale', 'Blond', 'Donker', 'Scotch', 'Pils', 'Sterke ale', 'Rood bruin', 'Fruitbier krieken', 'Ale', 'Amber ale', 'Dubbel abdij']	['Pils', 'Sterk Blond']
Beese	['Sterke ale blond']	[]
Bejaaamin	['Quadrupel', 'Blond']	['Tripel']
BelgBeerGeek	['Fruitbier', 'Quadrupel', 'Tripel', 'Blond', 'Sterke ale donker', 'Donker', 'Dubbel', 'Kruidenbier', 'Saison', 'Sterke ale', 'IPA', 'Rood bruin', 'Fruitbier krieken', 'Speciaal granenbier', 'Ale', 'Witbier', 'Sterke ale blond', 'Dubbel abdij']	['Low Alcoholic Beer', 'Sterke ale blond', 'Non-Alcoholic Beer']
BelgaBart	['Ale']	[]
Belgian22	['Quadrupel']	[]
BelgianBeer1970	['Witbier']	[]
BelgianBeerGal	['Tripel', 'Blond', 'Donker', 'Pils', 'Sterke ale', 'IPA', 'Fruitbier krieken', 'Kerstbier', 'Witbier', 'Ale', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier']	[]
BelgianBeerMan	['Quadrupel']	[]
Belgik	['Amber ale', 'Tripel', 'Blond']	[]
BelgiskOlklub	['Quadrupel', 'Dubbel', 'Blond', 'Sterke ale', 'IPA', 'Rood bruin', 'Witbier', 'Ale', 'Dubbel abdij']	['Pils', 'Witbier']
Belgo	['Quadrupel', 'Wilde ale']	[]
Belial	['Tripel', 'Sterke ale', 'Blond']	['Fruitbier']
BellsFan	[]	[]
Belly Full O Beer	['Tripel']	[]
Belmont beer wall99	['Sterke ale']	[]
Beloved Beer	['Amber ale', 'Quadrupel']	[]
Beltramelli	['Quadrupel', 'Tripel', 'Blond', 'Donker', 'Stout', 'Pils', 'Sterke ale', 'Sterke ale blond', 'Aperitiefbier']	['Kerstbier blond']
BenDover	['Sterke ale']	[]
BenH	['Amber ale', 'Rood bruin']	['Sterke ale']
Bendrixian	['Tripel']	[]
Benjiehorn	['Quadrupel', 'Dubbel abdij']	[]
Benjii	['Quadrupel', 'Tripel', 'Gueuze', 'Rood bruin']	['Blond']
BennyTicklez	['Quadrupel']	['Amber ale']
Benzai	"['Wilde ale', ""Gerstewijn - Barley wine - vin d'orge"", 'Sterke ale blond', 'Dubbel abdij', 'Aperitiefbier', 'Donker', 'Sterke ale', 'Witbier', 'Kerstbier blond', 'Fruitbier', 'Kruidenbier', 'Stout', 'Donker abdij', 'IPA', 'Tripel hop amber', 'Fruitbier krieken', 'Ale', 'Scotch', 'Dubbel', 'Tripel', 'Blond', 'Rood bruin']"	['Fruitbier', 'Blond', 'Fruitbier passie en mango', 'Pils', 'Sterke ale', 'Bokbier donker']
Berley31	['Amber ale', 'Tripel', 'Dubbel abdij']	[]
Bertrand	['Tripel']	[]
Betty	['Sterke ale', 'IPA', 'Donker']	[]
BiddleBrau	['Dubbel', 'Saison', 'Sterke ale', 'Amber ale', 'Aperitiefbier']	[]
BierBauch	['Quadrupel', 'Tripel', 'Donker', 'Saison', 'Sterke ale', 'Rood bruin', 'Witbier', 'Dubbel abdij']	[]
Bierkrug	['Tripel', 'Saison', 'Sterke ale', 'Wheat Beer - Hefeweizen', 'Rood bruin', 'Dubbel abdij', 'Aperitiefbier']	[]
Bif	['Pils']	[]
Big-D99	['Quadrupel']	[]
BigBang	['Quadrupel']	[]
BigBastard	['Fruitbier', 'Sterke ale amber', 'Blond', 'Quadrupel', 'Ale']	[]
BigBeer45	['Dubbel', 'Tripel', 'Ale', 'Blond']	['Wilde ale']
BigBen2120	['Quadrupel', 'Tripel', 'IPA', 'Amber ale', 'Dubbel abdij']	['Pils']
BigBilly	['Sterke ale']	[]
BigMilly8	['Sterke ale']	[]
BigMomma	['Quadrupel', 'Tripel', 'Donker', 'Saison', 'Pils', 'Sterke ale', 'Tripel hop amber', 'Rood bruin', 'Gueuze', 'Amber ale', 'Dubbel abdij']	['Amber ale']
Bigapple1983	['Quadrupel', 'Blond']	[]
Bigmmartin	['Amber ale', 'Quadrupel', 'Tripel', 'Dubbel abdij']	[]
BillKismet	['Quadrupel', 'Tripel', 'Blond', 'Sterke ale', 'Witbier', 'Amber ale', 'Aperitiefbier']	['Fruitbier', 'IPA']
BillPierce	[]	[]
BillWyce	['Amber ale', 'Dubbel abdij']	[]
BillZav	['Quadrupel']	[]
BillyM	['Amber ale']	[]
BillyMidnight	['Fruitbier', 'Quadrupel', 'Dubbel', 'Sterke ale', 'Amber ale']	['Fruitbier']
Bilwaukee	['Blond']	[]
BiochemProf	['Amber ale']	[]
Birdiebeagle	['Amber ale', 'Quadrupel', 'Tripel']	[]
BirraMon	['Sterke ale']	[]
BitchesBrew	['Quadrupel', 'Tripel', 'Donker', 'Sterke ale', 'Rood bruin', 'IPA']	[]
Bitzybrew	['Tripel']	[]
BlaQQJaKK99	[]	['Donker']
BlackDonald	['Quadrupel', 'Tripel', 'Blond', 'Rood bruin', 'Ale', 'Aperitiefbier']	[]
BlackEyePA	['Fruitbier', 'Sterke ale', 'Fruitbier aardbeien', 'Rood bruin', 'Amber ale', 'Sterke ale blond']	['Fruitbier']
BlackForestCO	['Saison', 'Sterke ale']	[]
BlackIPA	['Sterke ale']	[]
BlackMail	['Sterke ale', 'IPA']	[]
BlackSwan	['Blond']	[]
Blairgus	['Fruitbier', 'Quadrupel', 'Tripel', 'Donker', 'Saison', 'Sterke ale', 'Fruitbier aardbeien']	['Fruitbier']
Blake	['Quadrupel', 'Sterke ale', 'Rood bruin']	[]
Blaketj80	['Tripel', 'IPA']	[]
Blasphemies	['Amber ale']	[]
Blinebuddy	['Amber ale', 'IPA']	[]
Block	['Sterke ale']	[]
Bloekie	['Quadrupel', 'Blond', 'Tripel', 'Pils', 'Sterke ale', 'Ale']	['Fruitbier', 'Donker', 'Pils', 'Rood bruin', 'Ale']
Bloemart	['Quadrupel', 'Tripel', 'Blond', 'Pils', 'Sterke ale', 'Sterke ale blond']	['Sterke ale amber', 'Dubbel abdij']
Blom	['Quadrupel', 'Blond', 'Donker', 'Sterke ale', 'IPA', 'Kerstbier', 'Witbier', 'Dubbel abdij']	[]
BlondeGrim	[]	['Tripel']
BlueDevil0206	['Quadrupel', 'Tripel']	[]
BnMBrewCrew	['Quadrupel', 'Rood bruin']	[]
BoBoChamp	['Wilde ale', 'Sterke ale blond', 'Dubbel abdij', 'Sterke ale donker', 'Donker', 'Amber', 'Sterke ale', 'Witbier', 'Fruitbier', 'Kruidenbier', 'Stout', 'Saison', 'Pils', 'Donker abdij', 'IPA', 'Tripel hop amber', 'Fruitbier krieken', 'Ale', nan, 'Fruitbier Krieken', 'Quadrupel', 'Dubbel', 'Tripel', 'Blond', 'Rood bruin']	['Fruitbier', 'Kruidenbier', 'Pale Ale', 'Blond', 'Tripel', 'Donker', 'Stout', 'Pils', 'Fruitbier aardbeien', 'Rood bruin', 'Fruitbier krieken', 'Low Alcoholic Beer', 'Witbier', 'Ale']
BobEvers	['Quadrupel', 'Tripel', 'IPA', 'Amber ale', 'Dubbel abdij']	[]
BobbyW3363	['Amber ale', 'Tripel']	[]
Bobsy	['Sterke ale', 'Rood bruin']	[]
Bockyhorsey	['Quadrupel', 'Tripel', 'Wilde ale', 'Donker', 'Witbier', 'Scotch']	['Tripel']
Boe	['Dubbel']	[]
Boesky	['Tripel', 'IPA']	[]
Bohne	[]	['Fruitbier']
Boliv	['Sterke ale']	[]
BonVoeux	['Amber ale', 'Sterke ale', 'Rood bruin']	[]
Bonster	['Quadrupel']	[]
Bontus	['Quadrupel', 'Kruidenbier', 'Tripel', 'Sterke ale donker', 'Blond', 'Wilde ale', 'Saison', 'Pils', 'Sterke ale', 'IPA', 'Speciaal granenbier', 'Amber ale', 'Sterke ale blond', 'Dubbel abdij']	['Pils', 'Sterke ale']
BorksBabe	['Ale', 'Sterke ale']	[]
Borresteijn	['Kerstbier blond', 'Fruitbier', 'Tripel', 'Blond', 'Sterke ale donker', 'Saison', 'Pils', 'Sterke ale', 'Bok', 'Rood bruin', 'Strong blond', 'Ale', 'Witbier', 'Sterke ale blond', 'Dubbel abdij']	['Scotch', 'Sterke ale blond', 'Donker abdij', 'Pils']
Borup	['Quadrupel', 'Tripel', 'Sterke ale donker', 'Donker', 'Sterke ale', 'IPA', 'Rood bruin', 'Ale', 'Witbier', 'Amber ale']	['Fruitbier', 'Tripel', 'Pils', 'Witbier']
BossHossBikes	['Tripel', 'IPA']	[]
Bosskie	['Quadrupel', 'Kruidenbier', 'Tripel', 'Blond', 'Sterke ale', 'IPA', 'Strong blond', 'Amber ale', 'Dubbel abdij']	[]
Botnik	['Quadrupel']	[]
Boutip	['Quadrupel', 'Tripel', 'Blond', 'Wilde ale', 'Donker', 'Sterke ale', 'IPA', 'Fruitbier krieken', 'Kerstbier', 'Gueuze', 'Ale', 'Amber ale', 'Dubbel abdij']	['Fruitbier', 'Pils', 'Rood bruin', 'Gueuze', 'Witbier']
