Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Vlierbeek Red	De Vlier	Amber	6.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
VTK Lustrumbier	De Vlier	Witbier	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
W & E Finance	De Vlier	Blond	8.5	100.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
White Limestone	De Vlier	Tripel	7.5	16.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Winterse Doortrapper	De Vlier	Donker	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Sotê	Tetras.Beer	Saison	6.5	N/A	Sourbrodt	http://tetras.beer/	Available
Tetra’Bane	Tetras.Beer	Strong Dark Ale	9.2	N/A	Sourbrodt	http://tetras.beer/	Available
Halifax	Tetras.Beer	Bitter	5.0	N/A	Sourbrodt	http://tetras.beer/	Available
Scottish Ale Barrel Aged	Tetras.Beer	Scotch	8.6	18.0	Sourbrodt	http://tetras.beer/	No longer in production
Zima	Tetras.Beer	Porter	8.0	N/A	Sourbrodt	http://tetras.beer/	Available
Soupier Aquarius	Brasserie Le Goupil	Sour	5.3	N/A	Rosières	https://brasserie-legoupil.be/	Available
