Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Project R	De Klem	Tripel	8.5	40.0	Niel	http://brouwerijdeklem.be	No longer in production
Sportifke	De Klem	Blond	6.5	N/A	Niel	http://brouwerijdeklem.be	No longer in production
Zomer	De Klem	Blond	6.0	14.0	Niel	http://brouwerijdeklem.be	No longer in production
B4-ke	De Klem	Tripel	8.5	N/A	Niel	http://brouwerijdeklem.be	Available
Paterke	De Klem	Donker	7.0	N/A	Niel	http://brouwerijdeklem.be	
Rupelstreek	De Klem	Tripel	8.5	N/A	Niel	http://brouwerijdeklem.be	Available
Sint-Janneke	De Klem	Blond	7.5	N/A	Niel	http://brouwerijdeklem.be	Available
Tripel WIK '70	De Klem	Tripel	8.5	N/A	Niel	http://brouwerijdeklem.be	Available
Zoölogie Collectie - Classic IPA	De Klem	IPA	6.5	N/A	Niel	http://brouwerijdeklem.be	Available
Local Taste Oaked Tripel	De Graal	Tripel	7.0	18.0	Brakel	https://degraal.be/	Available
Local Taste Juniper	De Graal	Dubbel	7.0	21.0	Brakel	https://degraal.be/	Available
IP Cuvée	De Poes	Tripel	8.0	N/A	Tielt	http://www.brouwerijdepoes.be/	No longer in production
Bloende Moare	De Moare	Blond	6.5	32.0	Dranouter	https://www.demoare.be/	Available
Moare Tripel	De Moare	Tripel	8.2	32.0	Dranouter	https://www.demoare.be/	Available
Brune Moare	De Moare	Dubbel	7.0	32.0	Dranouter	https://www.demoare.be/	Available
Merry Moare	De Moare	Amber	7.5	15.0	Dranouter	https://www.demoare.be/	
La Vignette	La Vignette	Witbier	5.5	N/A	Leuven	https://www.lavignettelouvain.be/	Available
Verzamelaarke 2022	Den Triest	Spiced / Herbed Beer	6.5	30.0	Kapelle o/d Bos	https://www.dentriest.be/	
Bonifacius Beer Blond Tripple	Fort Lapin	Tripel	8.0	N/A	Brugge	https://fortlapin.com/	
Bommelsbier	Dupont	Bière de Garde	8.5	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	
H'arVenir	Dupont	Donker	6.0	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	No longer in production
Saison DuPont Vieille Provision	Dupont	Saison	6.5	30.0	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	Available
Abbaye de la Moinette II	Dupont	Saison	8.0	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	No longer in production
Astrid Ida P.	Dupont	Saison	9.5	28.0	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	No longer in production
Brewers' Bridge	Dupont	Saison	6.1	40.0	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	No longer in production
Saison Dupont Cuvée Dry Hopping Styrian Eureka	Dupont	Saison	6.5	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	Available
Saison Dupont Cuvée Dry Hopping Styrian Wolf	Dupont	Saison	6.5	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	Available
Tourpes Tripel	Dupont	Tripel	9.6	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	Available
Saison Dupont Cuvée Dry Hopping Minstrel	Dupont	Saison	6.5	N/A	Tourpes-Leuze	https://www.brasserie-dupont.com/nl	
Duveldelphia	Duvel Moortgat	Blond	7.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Duvel Barrel Aged Batch 7 (Irish Whiskey)	Duvel Moortgat	Strong Golden Ale	11.5	21.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvel Barrel Aged Batch 6 (Jamaican Rum)	Duvel Moortgat	Strong Golden Ale	11.0	40.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Best Sommelier Collab	Duvel Moortgat	Sour	8.5	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Duvel Hagedis BA Scotch Ale	Duvel Moortgat	Scotch	10.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Duvel x Hof van Cleve Barrel aged	Duvel Moortgat	Strong Dark Ale	10.8	N/A	Breendonk-Puurs	https://www.duvel.com/	
Maredsous 6 Donker	Duvel Moortgat	Donker	6.0	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Vedett Extra Pilsner	Duvel Moortgat	Pils	5.2	26.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Vedett Extra Rosé	Duvel Moortgat	Fruitbier	3.9	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
't IJ van de Duvel	Duvel Moortgat	IPA - New England / Hazy	6.7	15.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvel Barrel Aged Batch 1 (Bourbon)	Duvel Moortgat	Strong Golden Ale	11.5	N/A	Breendonk-Puurs	https://www.duvel.com/	
Duvel Barrel Aged Batch 3 (Bourbon)	Duvel Moortgat	Strong Golden Ale	11.5	21.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvel Barrel Aged Batch 4 (Bourbon)	Duvel Moortgat	Strong Golden Ale	11.5	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvel Blue	Duvel Moortgat	Strong Golden Ale	8.5	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvel Feestbier	Duvel Moortgat	Strong Golden Ale	8.5	N/A	Breendonk-Puurs	https://www.duvel.com/	
Duvel Pils	Duvel Moortgat	Pils	4.9	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Duvelorium	Duvel Moortgat	Blond	5.5	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Guido Belcanto Bruin	Duvel Moortgat	Donker	7.2	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Guido Belcanto Grand Cru	Duvel Moortgat	Tripel	9.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Gustos	Duvel Moortgat	Pils	5.2	28.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
La 679 by Mont Rigi	Duvel Moortgat	Blond	5.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Love	Duvel Moortgat	Blond	8.5	33.0	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Moortgat Light Beer	Duvel Moortgat	Light Beer	3.4	N/A	Breendonk-Puurs	https://www.duvel.com/	
More Majorum	Duvel Moortgat	Blond	6.5	N/A	Breendonk-Puurs	https://www.duvel.com/	
Sanctus	Duvel Moortgat	Donker	6.8	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Silver Pils	Duvel Moortgat	Pils	5.5	48.0	Breendonk-Puurs	https://www.duvel.com/	Available
Stephy Pils	Duvel Moortgat	Pils	5.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Stierenbier	Duvel Moortgat	IPA	9.0	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Vedett Extra Seasalt Kiwi	Duvel Moortgat	Witbier	3.5	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Vedett Mol 2012	Duvel Moortgat	Blond	4.0	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Viremilia	Duvel Moortgat	Blond	5.0	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
Vreiland Pils	Duvel Moortgat	Pils	5.0	N/A	Breendonk-Puurs	https://www.duvel.com/	Available
Winterlude Triple	Duvel Moortgat	Tripel	8.8	N/A	Breendonk-Puurs	https://www.duvel.com/	
Wonder Bier	Duvel Moortgat	Blond	3.4	N/A	Breendonk-Puurs	https://www.duvel.com/	No longer in production
´t Spintje	Duvel Moortgat	Pils	5.2	N/A	Breendonk-Puurs	https://www.duvel.com/	
‘t Klapke	Duvel Moortgat	Pils	5.2	N/A	Breendonk-Puurs	https://www.duvel.com/	
Loterbol 2005 Bruin 10%	Loterbol	Donker	10.0	N/A	Diest	https://sites.google.com/view/loterbol	
Loterbol Blond Dryhopped	Loterbol	Blond	6.0	N/A	Diest	https://sites.google.com/view/loterbol	
Troubouly Blanche	Scassenes	Witbier	4.5	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	
Troubouly Rosée	Scassenes	Fruitbier	4.9	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	Available
Troubouly Triple	Scassenes	Tripel	9.0	N/A	Ecaussinnes d'Enghien	https://www.brasseriescassenes.be/	
